,address,driving_time,public_trans_time,public_trans_option
52,"Olei HaGardom St.  15,Rishon LeTsiyon",typically 35 min - 1 hr 5 min,42 min,190
53,Eisenband St. Rishon LeTsiyon,typically 30 min - 1 hr,45 min,193
54,Ein ha-Kore St. Rishon LeTsiyon,typically 28 - 55 min,45 min,190
55,Ein ha-Kore St. Rishon LeTsiyon,typically 28 - 55 min,45 min,190
56,Abarbanel St. Rishon LeTsiyon,typically 30 min - 1 hr,44 min,193
57,Tirat Tsvi St. Rishon LeTsiyon,typically 28 min - 1 hr 10 min,43 min,190
58,Vigodski St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,39 min,193
59,"Yitshak Grinboim St.  34,Netanya",typically 40 min - 1 hr 15 min,43 min,611
60,Rambam St. Netanya,typically 40 min - 1 hr 15 min,53 min,611
61,"Derech Dganya  48,Netanya",typically 40 min - 1 hr 15 min,48 min,139        בנימינה-בנימינה גבעת עדה<->לוד-לוד
62,"HaRav Kuk St.  29,Netanya",typically 50 min - 1 hr 40 min,46 min,650
63,"Yehuda ha-Nasi St.  27,Netanya",typically 45 min - 1 hr 40 min,42 min,650
64,"Derech Ben Gurion  89,Bat Yam",typically 24 min - 1 hr,39 min,6    אשקלון-אשקלון<->הרצליה-הרצליה
65,"Alonim St.  18,Netanya",typically 40 min - 1 hr 20 min,50 min,606
66,"Menashe Kapra St.  38,Rehovot",typically 40 min - 1 hr 30 min,57 min,277
67,Ha-Zohar St. Petah Tikva,typically 30 min - 1 hr 5 min,43 min,64
68,Beit Lekhem St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,42 min,193
69,Pnina U-Moshe St. Rishon LeTsiyon,typically 30 min - 1 hr,46 min,5        193
70,HaRav Uziel St. Rishon LeTsiyon,typically 30 min - 1 hr,NA,NA
71,Rothschild St. Rishon LeTsiyon,typically 30 min - 1 hr,40 min,190
72,HaShomer St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,47 min,193
73,HaGdud Haivri St. Rishon LeTsiyon,typically 28 min - 1 hr,NA,NA
74,Ha-Hityashvut St. Rishon LeTsiyon,typically 28 min - 1 hr,51 min,193
75,Alkalai St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,41 min,193
76,Carmel St. Rehovot,typically 40 min - 1 hr 30 min,55 min,8    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
77,Kheil ha-Khimush St. Rishon LeTsiyon,typically 26 min - 1 hr 5 min,39 min,15        190
78,Ha-Tikva St. Rishon LeTsiyon,typically 28 - 55 min,42 min,190
79,HaBen HaRishon St. Rishon LeTsiyon,typically 30 min - 1 hr,49 min,190
80,Tchernikhovski St. Rishon LeTsiyon,typically 28 - 55 min,45 min,190
81,Khavakuk St. Rishon LeTsiyon,typically 35 min - 1 hr 10 min,44 min,193
82,Ruppin St. Rishon LeTsiyon,typically 30 min - 1 hr 10 min,44 min,190
83,HaKishon St. Rishon LeTsiyon,typically 30 min - 1 hr,45 min,190
84,Yeverboim St. Rishon LeTsiyon,typically 30 min - 1 hr,43 min,190
85,Shaar Hagolan St. Rishon LeTsiyon,typically 28 min - 1 hr 10 min,45 min,6    190
86,Rambam St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,45 min,193
87,Amzaleg St. Rishon LeTsiyon,typically 28 - 55 min,45 min,3    190
88,Lubman St. Rishon LeTsiyon,typically 30 min - 1 hr 10 min,43 min,193
89,Vigodski St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,39 min,193
90,"Berl Katznelson St.  33,Rishon LeTsiyon",typically 30 min - 1 hr,44 min,190
91,David Wolffsohn St. Rishon LeTsiyon,typically 35 min - 1 hr 5 min,41 min,190
92,Imber St. Rishon LeTsiyon,typically 35 min - 1 hr 5 min,42 min,190
93,Binyamin St. Rehovot,typically 40 min - 1 hr 40 min,56 min,277
94,Abarbanel St. Rishon LeTsiyon,typically 30 min - 1 hr,44 min,193
95,Imber St. Rishon LeTsiyon,typically 35 min - 1 hr 5 min,42 min,190
96,Max Nordau St. Rehovot,typically 40 min - 1 hr 40 min,55 min,277
97,Ha-Iris St. Rishon LeTsiyon,typically 28 min - 1 hr,38 min,83    190
98,Ha-Akhim Ostashinski St. Rishon LeTsiyon,typically 30 min - 1 hr 10 min,47 min,190
99,Kiryat Sefer St. Rishon LeTsiyon,typically 30 min - 1 hr,42 min,190
100,Jerusalem St. Rishon LeTsiyon,typically 28 min - 1 hr,43 min,193
101,Kiryat Sefer St. Rishon LeTsiyon,typically 30 min - 1 hr,42 min,190
102,HaMegila St. Rishon LeTsiyon,typically 26 min - 1 hr 5 min,39 min,15        190
103,"HaPardes HaRishon St.  31,Rishon LeTsiyon",typically 30 - 55 min,42 min,190
104,Lilienblum St. Rishon LeTsiyon,typically 28 - 55 min,45 min,190
105,Shlomo Eliraz St. Rishon LeTsiyon,typically 30 min - 1 hr,48 min,193
106,Mohiliver St. Rishon LeTsiyon,typically 28 min - 1 hr,39 min,193
107,HaShomer St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,47 min,193
108,Weizbard St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,40 min,193
109,Shalom Shabazi St. Rishon LeTsiyon,typically 28 - 55 min,38 min,193
110,Ha-Zohar St. Petah Tikva,typically 30 min - 1 hr 5 min,43 min,64
111,Yerushalayim Ave Lod,typically 30 min - 1 hr 5 min,42 min,461    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
112,"Sderot Johana Jabotinsky  58,Beersheba",typically 1 hr 30 min - 2 hr 20 min,1 hr 43 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
113,Yakinton St. Lod,typically 30 min - 1 hr,NA,NA
114,"Sderot Shlomo HaMelech  63,Lod",typically 35 min - 1 hr 10 min,35 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
115,"Simkha St.  45,Tel Aviv-Yafo",typically 10 - 18 min,18 min,7
116,"Maale Ha-Gat St.  15,Ashkelon",typically 55 min - 2 hr,1 hr 11 min,304
117,"Uzi Hitman St.  11,Netanya",typically 35 min - 1 hr 10 min,51 min,600
118,"Lubman St.  5,Rishon LeTsiyon",typically 30 min - 1 hr 10 min,42 min,193
119,Arye Refael St. Rishon LeTsiyon,typically 28 min - 1 hr,40 min,193
120,Gevim St. Rishon LeTsiyon,typically 30 min - 1 hr 15 min,49 min,190
121,Sharet St. Netanya,typically 45 min - 1 hr 30 min,46 min,650
122,"Brandeis St.  11,Rishon LeTsiyon",typically 26 - 55 min,39 min,193
123,"Shalom Aleichem St.  9,Rishon LeTsiyon",typically 30 min - 1 hr,44 min,190
124,Sderot Shlomo HaMelech Lod,typically 35 min - 1 hr 5 min,36 min,461    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
125,Ha-Hityashvut St. Rishon LeTsiyon,typically 28 min - 1 hr,51 min,193
126,"Nitsa Boulevard  34,Netanya",typically 50 min - 1 hr 40 min,47 min,650
127,HaYarkon St. Tel Aviv-Yafo,typically 12 - 35 min,37 min 2.9 km,705
128,Shaar HaYam St. Herzliya,typically 24 - 50 min,32 min,606
129,Melchett St. Tel Aviv-Yafo,typically 9 - 24 min,12 min,23
130,Biltmore St. Tel Aviv-Yafo,typically 10 - 26 min,34 min 2.5 km,706
131,Yohanan HaSandlar St. Tel Aviv-Yafo,typically 9 - 24 min,11 min,23
132,Yosef ha-Nasi St. Tel Aviv-Yafo,typically 10 - 26 min,12 min,23
133,Trumpeldor St. Tel Aviv-Yafo,typically 12 - 35 min,17 min,8
134,Dov Hoz St. Tel Aviv-Yafo,typically 12 - 30 min,31 min 2.5 km,705
135,Shai Agnon St. Tel Aviv-Yafo,typically 12 - 30 min,19 min,611
136,Sokolov St. Netanya,typically 45 min - 1 hr 30 min,46 min,650
137,"Khayat St.  1,Haifa",typically 1 hr 30 min - 2 hr 50 min,1 hr 19 min,כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
138,HaNotrim St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,51 min,193
139,David HaMelech St. Netanya,typically 50 min - 1 hr 40 min,48 min,650
140,Beni Berman St. Netanya,typically 35 min - 1 hr 10 min,47 min,600
141,"Sderot Ben Gurion  143,Netanya",typically 40 min - 1 hr 15 min,54 min,600
142,"Shtulim St.  1,Tel Aviv-Yafo",typically 10 - 20 min,16 min,7
143,"Sderot Oved Ben Ami  2,Netanya",typically 40 min - 1 hr 20 min,54 min,600
144,"Nitsanim St.  31,Migdal HaEmek",typically 1 hr 40 min - 3 hr 50 min,1 hr 48 min,826
145,"Yoram Varon St.  3,Ashkelon",typically 1 - 2 hr,1 hr 23 min,18    אשקלון-אשקלון<->הרצליה-הרצליה
146,"Smilanski St.  69,Netanya",typically 40 min - 1 hr 20 min,53 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
147,HaHashmonaim St. Bat Yam,typically 22 - 55 min,1 hr 19 min,705
148,"Ahi Mezanek St.  4,Rishon LeTsiyon",typically 26 min - 1 hr 5 min,44 min,15    אשקלון-אשקלון<->הרצליה-הרצליה
149,"Shvat St.  35,Tel Aviv-Yafo",typically 12 - 22 min,19 min,7
150,Biltmore St. Tel Aviv-Yafo,typically 10 - 26 min,34 min 2.5 km,706
151,"Masada St.  4,Ramla",typically 35 min - 1 hr 15 min,58 min,458
152,HaTapuach St. Rishon LeTsiyon,typically 35 min - 1 hr 5 min,51 min,193
153,"Dizengoff St.  35,Netanya",typically 45 min - 1 hr 25 min,45 min,650
154,HaCarmel St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,42 min,193
155,Irit St. Tel Aviv-Yafo,typically 20 - 45 min,37 min,46
156,David HaMelech St. Netanya,typically 50 min - 1 hr 40 min,48 min,650
157,"Kokhavei Yitskhak St.  3,Tel Aviv-Yafo",typically 10 - 24 min,18 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
158,Bnei Binyamin St. Netanya,typically 40 min - 1 hr 15 min,46 min,600
159,Ha-Gefen St. Ramla,typically 35 min - 1 hr 20 min,47 min,450
160,Yehuda Halevi St. Rishon LeTsiyon,typically 28 min - 1 hr,42 min,193
161,"Henrietta Szold St.  115,Lod",typically 30 min - 1 hr,39 min,22    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
162,"Meir Safran St.  4,Lod",typically 35 min - 1 hr 5 min,38 min,22    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
163,"Berl Katznelson St.  17,Rishon LeTsiyon",typically 28 - 55 min,44 min,190
164,Hovevei Tsiyon St. Tel Aviv-Yafo,typically 14 - 35 min,17 min,8
165,"Dakar St.  21,Lod",typically 30 min - 1 hr,49 min,6    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
166,"Barak St.  4,Lod",typically 35 min - 1 hr,40 min,460
167,Neve Tzedek St. Tel Aviv-Yafo,typically 12 - 30 min,22 min,23
168,"Sh. Ben Tsiyon St.  5,Rishon LeTsiyon",typically 28 - 55 min,47 min,190
169,Ha-Banim St. Tiberias,typically 1 hr 50 min - 4 hr 10 min,2 hr 11 min,15    836
170,Fabregat St. Ramat Gan,typically 12 - 35 min,39 min,35    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
171,HaRav Uziel St. Rishon LeTsiyon,typically 30 min - 1 hr,NA,NA
172,"Ben Akhituv St.  7,Tel Aviv-Yafo",typically 22 - 50 min,32 min,46
173,"Ahad HaAm St.  6,Haifa",typically 1 hr 30 min - 2 hr 50 min,1 hr 29 min,37א        כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
174,"Tiomkin St.  19,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,45 min,190
175,"Tiomkin St.  19,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,45 min,190
176,"Nitsa Boulevard  20,Netanya",typically 50 min - 1 hr 40 min,46 min,650
177,Ahlama St. Ashdod,typically 50 min - 1 hr 40 min,1 hr 11 min,281
178,"Ha-Admor ha-EmtsaI St.  1,Lod",typically 35 min - 1 hr 15 min,28 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
179,"Ha-Rav Nisanbaum St.  37,Bat Yam",typically 22 min - 1 hr,32 min,6    אשקלון-אשקלון<->הרצליה-הרצליה
180,"Frumkin St.  6,Netanya",typically 50 min - 1 hr 40 min,43 min,650
181,"Rabbi Akiva St.  5,Lod",typically 35 min - 1 hr,36 min,22    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
182,Yitshak Sadeh St. Bat Yam,typically 24 min - 1 hr,NA,NA
183,"Dov Hoz St.  8,Netanya",typically 45 min - 1 hr 30 min,47 min,16    נתניה-נתניה<->בית שמש-בית שמש
184,"Rahvat HaRav Uziel  15,Beersheba",typically 1 hr 25 min - 2 hr 20 min,1 hr 43 min,16        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
185,Khalutsei Yesud ha-Ma'ala St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,40 min,193
186,Weizman St. Bat Yam,typically 22 - 50 min,37 min,1
187,"Tsadi Gimel Banot St.  32,Rishon LeTsiyon",typically 28 min - 1 hr,39 min,193
188,"Shtulim St.  1,Tel Aviv-Yafo",typically 10 - 20 min,16 min,7
189,Derech Ben Gurion Bat Yam,typically 24 min - 1 hr,1 hr 15 min,705
190,Tsvi Hirschfeld St. Rishon LeTsiyon,typically 30 min - 1 hr,45 min,190
191,"Tel Hai St.  24,Rishon LeTsiyon",typically 28 - 55 min,44 min,3    190
192,"Yokhanan ha-Sandlar St.  8,Rishon LeTsiyon",typically 30 min - 1 hr,44 min,193
193,Shmurat Nahal Bsur St. Netanya,typically 35 min - 1 hr 10 min,38 min,611
194,"HaHayil St.  3,Holon",typically 22 - 55 min,26 min,אשקלון-אשקלון<->הרצליה-הרצליה
195,"Ramban St.  1,Netanya",typically 40 min - 1 hr 15 min,49 min,611
196,"Meir Safran St.  2,Lod",typically 35 min - 1 hr 5 min,39 min,22    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
197,"Sderot Jabotinsky  31,Netanya",typically 40 min - 1 hr 20 min,52 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
198,"Barak St.  20,Lod",typically 30 min - 1 hr,39 min,460
199,HaRav Herzog St. Ramla,typically 35 min - 1 hr 15 min,54 min,458
200,Yokheved Bat Miryam St. Tel Aviv-Yafo,typically 16 - 40 min,32 min,49    171
201,Rakhel Alter St. Lod,typically 35 min - 1 hr 10 min,38 min,22    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
202,"Petah Tikva St.  53,Netanya",typically 40 min - 1 hr 25 min,48 min,611
203,Ha-Khashmonaim St. Lod,typically 30 min - 1 hr,43 min,1        רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
204,"Sderot Shlomo HaMelech  105,Lod",typically 35 min - 1 hr,41 min,22    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
205,"Ussishkin St.  11,Netanya",typically 40 min - 1 hr 20 min,55 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
206,"Ha-Gila St.  5,Netanya",typically 40 min - 1 hr 15 min,53 min,600
207,David Wolffsohn St. Rishon LeTsiyon,typically 35 min - 1 hr 5 min,41 min,190
208,David Wolfson St. Petah Tikva,typically 35 min - 1 hr 15 min,42 min,364
209,Tsadi Gimel Banot St. Rishon LeTsiyon,typically 28 min - 1 hr,39 min,193
210,Ha-Gila St. Netanya,typically 40 min - 1 hr 15 min,52 min,600
211,Rothschild St. Bat Yam,typically 20 - 55 min,59 min,705
212,Tchernikhovski St. Bat Yam,typically 22 - 55 min,39 min,1
213,Tchernikhovski St. Bat Yam,typically 22 - 55 min,39 min,1
214,Bnei Binyamin St. Netanya,typically 45 min - 1 hr 40 min,42 min,650
215,"Ofra Haza  9,Bat Yam",typically 24 min - 1 hr 5 min,47 min,1
216,Archi Sherman St. Netanya,typically 40 min - 1 hr 15 min,50 min,600
217,Masaryk St. Netanya,typically 45 min - 1 hr 30 min,52 min,16    נתניה-נתניה<->בית שמש-בית שמש
218,HaCarmel St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,42 min,193
219,"HaShikma St.  32,Bat Yam",typically 24 min - 1 hr,43 min,1
220,Ha-Sar Shapira St. Bat Yam,typically 24 min - 1 hr,NA,NA
221,Bar Kochva St. Tel Aviv-Yafo,typically 10 - 26 min,26 min 2.0 km,708    710
222,"Bilu St.  5,Rishon LeTsiyon",typically 30 min - 1 hr 10 min,40 min,193
223,"Ha-Shakhar St.  10,Hod Hasharon",typically 35 min - 1 hr 15 min,43 min,565
224,Nakhshol St. Ramla,typically 35 min - 1 hr 10 min,41 min,11    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
225,HaShikma St. Bat Yam,typically 22 min - 1 hr,NA,NA
226,Yitshak Sadeh St. Bat Yam,typically 24 min - 1 hr,NA,NA
227,Kehilat Tsefat St. Netanya,typically 35 min - 1 hr 15 min,48 min,600
228,"onyx  20,Be'er Ya'akov",NA,NA,NA
229,"Akhad ha-Am St.  4,Netanya",typically 40 min - 1 hr 20 min,38 min,650
230,Shlomo Kaplanski St. Rishon LeTsiyon,typically 30 min - 1 hr,48 min,190
231,Gush Etsyon St. Holon,typically 20 - 50 min,29 min,240
232,"Horowitz St.  8,Rishon LeTsiyon",typically 35 min - 1 hr,44 min,190
233,Arik Einstein St. Ashdod,typically 45 min - 1 hr 40 min,56 min,280
234,David ha-Reuveni St. Rishon LeTsiyon,typically 30 min - 1 hr 10 min,40 min,193
235,HaDugit St. Rishon LeTsiyon,typically 30 min - 1 hr,41 min,190
236,Ha-Neviim St. Bat Yam,typically 22 min - 1 hr,43 min,1
237,"HaSeora St.  1,Netanya",typically 50 min - 1 hr 40 min,56 min,25    בנימינה-בנימינה גבעת עדה<->לוד-לוד
238,Daniel St. Bat Yam,typically 20 - 50 min,28 min,240
239,Gruenbaum St. Holon,typically 20 - 55 min,31 min,71
240,Harei HaGilad St. Ramat Gan,typically 8 - 20 min,11 min,200
241,Ha-Oren St. Ramla,typically 35 min - 1 hr 15 min,46 min,450
242,Sokolov St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,NA,NA
243,Simha Holtsberg St. Ramla,typically 35 min - 1 hr 15 min,50 min,450
244,Dugit St. Ramla,typically 35 min - 1 hr 10 min,NA,NA
245,Zeev Yaavets St. Petah Tikva,typically 22 - 55 min,32 min,51
246,Shmuel Shrira St. Rishon LeTsiyon,typically 30 min - 1 hr,48 min,193
247,"Anilevich St.  33,Bat Yam",typically 18 - 50 min,24 min,240
248,"HaTothanim St.  17,Holon",typically 18 - 40 min,43 min,72    56
249,Neve Tzedek St. Tel Aviv-Yafo,typically 12 - 30 min,22 min,23
250,Yair Avraham Stern St. Netanya,typically 45 min - 1 hr 20 min,53 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
251,"Ussishkin St.  32,Netanya",typically 40 min - 1 hr 25 min,52 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
252,Ramat Motsa St. Jerusalem,typically 50 min - 1 hr 20 min,1 hr 14 min,154    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
253,Havatikim St. Nesher,typically 1 hr 30 min - 3 hr 40 min,1 hr 48 min,70        כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
254,Hen St. Beer Sheva,typically 1 hr 25 min - 2 hr 10 min,1 hr 39 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
255,Nahal Yam St. Rishon LeTsiyon,typically 26 min - 1 hr 5 min,41 min,190
256,Y.L. Perets St. Haifa,typically 1 hr 30 min - 2 hr 50 min,1 hr 25 min,כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
257,Arlozorov St. Bat Yam,typically 22 - 55 min,1 hr 4 min,705
258,"David HaMelech St.  33,Beer Sheva",typically 1 hr 25 min - 2 hr 10 min,1 hr 29 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
259,Doctor Weissburg St. Petah Tikva,typically 35 min - 1 hr 10 min,52 min,364
260,Ben Tsvi Boulevard Netanya,typically 35 min - 1 hr 15 min,39 min,611
261,"HaShiloah St.  13,Holon",typically 22 - 55 min,42 min,89
262,Kiryat Sefer St. Rishon LeTsiyon,typically 30 min - 1 hr,42 min,190
263,Mikha'el Ne'eman St. Tel Aviv-Yafo,typically 22 - 45 min,27 min,611
264,HaMa'ayan St. Ramat Gan,typically 9 - 22 min,9 min,200
265,Moshe Sharet St. Tel Aviv-Yafo,typically 7 - 20 min,29 min 2.1 km,706
266,Yitshak Ben Zvi St. Ramla,typically 35 min - 1 hr 20 min,43 min,450
267,"San Martin St.  4,Lod",typically 30 min - 1 hr,39 min,460
268,"Balfour St.  29,Bat Yam",typically 22 - 50 min,38 min,46
269,Karl Netter St. Rishon LeTsiyon,typically 28 - 55 min,39 min,193
270,Ha-Aliya ha-Rishona St. Ramat Gan,typically 16 - 40 min,27 min,364
271,Kdoshei Kahir St. Bat Yam,typically 22 - 55 min,37 min,1
272,Yefe Nof St. Nesher,typically 1 hr 30 min - 3 hr 40 min,1 hr 47 min,70        כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
273,Beilinson St. Ramla,typically 35 min - 1 hr 10 min,38 min,450
274,Hafes Haim St. Petah Tikva,typically 24 min - 1 hr 5 min,40 min,364
275,Ehud Manor St. Netanya,typically 35 min - 1 hr 10 min,48 min,600
276,Yarden St. Migdal HaEmek,typically 1 hr 40 min - 3 hr 50 min,1 hr 53 min,826
277,Ha-Neviim St. Bat Yam,typically 22 min - 1 hr,43 min,1
278,Naomi Shemer St. Holon,typically 22 - 55 min,35 min,71
279,HeHatsav St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,46 min,193
280,Sderot Ben Gurion Ramla,typically 35 min - 1 hr 20 min,43 min,450
281,"Dror St.  20,Rishon LeTsiyon",typically 30 min - 1 hr,38 min,193
282,"Emek Khefer St.  6,Netanya",typically 45 min - 1 hr 30 min,47 min,16    נתניה-נתניה<->בית שמש-בית שמש
283,Yitshak Ben Zvi St. Ramla,typically 35 min - 1 hr 20 min,43 min,450
284,"Yoel Drubin St.  3,Rishon LeTsiyon",typically 30 min - 1 hr,43 min,190
285,"Oskar Schindler St.  16,Bat Yam",typically 22 - 50 min,40 min,46
286,Meir Yaari St. Tel Aviv-Yafo,typically 14 - 35 min,21 min,56
287,Stefan Weiz St. Rishon LeTsiyon,typically 28 min - 1 hr,40 min,193
288,"Barak St.  20,Lod",typically 30 min - 1 hr,39 min,460
