,price,address,property_type,num_rooms,floor_num,meters,parking,street,city,ppm,driving_time,public_trans_time,public_trans_option,min_driving_time,max_driving_time,public_trans_time_min,number_trans_trips,driving_time_from_parents,driving_time_from_parents_min,driving_time_from_parents_max,parking?,meters_per_room
47,1950000,Balfour St. Bat Yam,Apartment,3.0,4,90.0,0,Balfour St.,Bat Yam,21666.666666666668,typically 22 - 55 min,1 hr 9 min,705,22.0,55.0,69.0,1,,,,no,30.0
48,3280000,"Ha-Brosh St.  3,Beer Yaakov",Apartment,5.0,10,120.0,2,Ha-Brosh St.,Beer Yaakov,27333.333333333332,typically 30 min - 1 hr 15 min,43 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,30.0,75.0,43.0,1,18 - 40 min,18.0,40.0,yes,24.0
49,4190000,"Shalom Aleichem St.  24,Tel Aviv-Yafo",Apartment,3.0,4,54.0,0,Shalom Aleichem St.,Tel Aviv-Yafo,77592.5925925926,typically 10 - 30 min,18 min,8,10.0,30.0,18.0,1,,,,no,18.0
50,7000000,"Tiltan St.  6,Tiberias",Apartment,6.0,3,260.0,3,Tiltan St.,Tiberias,26923.076923076922,typically 1 hr 50 min - 4 hr 10 min,NA,NA,110.0,250.0,0.0,1,,,,yes,43.333333333333336
51,3600000,"Tankhum St.  15,Rishon LeTsiyon",New homes,5.0,7,146.0,3,Tankhum St.,Rishon LeTsiyon,24657.534246575342,typically 30 min - 1 hr 5 min,39 min,193,30.0,65.0,39.0,1,20 - 35 min,20.0,35.0,yes,29.2
52,1890000,"Olei HaGardom St.  15,Rishon LeTsiyon",Villa,3.0,3,94.0,1,Olei HaGardom St.,Rishon LeTsiyon,20106.382978723403,typically 35 min - 1 hr 5 min,42 min,190,35.0,65.0,42.0,1,,,,yes,31.333333333333332
53,2150000,Eisenband St. Rishon LeTsiyon,Apartment,4.5,3,105.0,1,Eisenband St.,Rishon LeTsiyon,20476.190476190477,typically 30 min - 1 hr,45 min,193,30.0,60.0,45.0,1,22 - 40 min,22.0,40.0,yes,23.333333333333332
54,2150000,Ein ha-Kore St. Rishon LeTsiyon,Apartment,2.5,1,73.0,1,Ein ha-Kore St.,Rishon LeTsiyon,29452.054794520547,typically 28 - 55 min,45 min,190,28.0,55.0,45.0,1,,,,yes,29.2
55,3400000,Ein ha-Kore St. Rishon LeTsiyon,Apartment,5.5,5,145.0,1,Ein ha-Kore St.,Rishon LeTsiyon,23448.275862068964,typically 28 - 55 min,45 min,190,28.0,55.0,45.0,1,,,,yes,26.363636363636363
56,2900000,Abarbanel St. Rishon LeTsiyon,New homes,6.0,5,140.0,1,Abarbanel St.,Rishon LeTsiyon,20714.285714285714,typically 30 min - 1 hr,44 min,193,30.0,60.0,44.0,1,22 - 45 min,22.0,45.0,yes,23.333333333333332
57,2650000,Tirat Tsvi St. Rishon LeTsiyon,Apartment,4.0,3,92.0,1,Tirat Tsvi St.,Rishon LeTsiyon,28804.347826086956,typically 28 min - 1 hr 10 min,43 min,190,28.0,70.0,43.0,1,,,,yes,23.0
58,3750000,Vigodski St. Rishon LeTsiyon,Apartment,5.0,4,160.0,2,Vigodski St.,Rishon LeTsiyon,23437.5,typically 30 min - 1 hr 5 min,39 min,193,30.0,65.0,39.0,1,,,,yes,32.0
59,1520000,"Yitshak Grinboim St.  34,Netanya",Rooftop apt.,3.0,3,57.0,0,Yitshak Grinboim St.,Netanya,26666.666666666668,typically 40 min - 1 hr 15 min,43 min,611,40.0,75.0,43.0,1,,,,no,19.0
60,2090000,Rambam St. Netanya,Apartment,4.0,5,96.0,1,Rambam St.,Netanya,21770.833333333332,typically 40 min - 1 hr 15 min,53 min,611,40.0,75.0,53.0,1,1 hr 5 min - 1 hr 50 min,65.0,110.0,yes,24.0
61,4090000,"Derech Dganya  48,Netanya",New homes,4.0,0,90.0,1,Derech Dganya  48,Netanya,45444.444444444445,typically 40 min - 1 hr 15 min,48 min,139        בנימינה-בנימינה גבעת עדה<->לוד-לוד,40.0,75.0,48.0,2,,,,yes,22.5
62,2490000,"HaRav Kuk St.  29,Netanya",Apartment,4.5,5,125.0,1,HaRav Kuk St.,Netanya,19920.0,typically 50 min - 1 hr 40 min,46 min,650,50.0,100.0,46.0,1,,,,yes,27.77777777777778
63,1990000,"Yehuda ha-Nasi St.  27,Netanya",Garden apt.,4.0,0,100.0,0,Yehuda ha-Nasi St.,Netanya,19900.0,typically 45 min - 1 hr 40 min,42 min,650,45.0,100.0,42.0,1,1 hr 10 min - 1 hr 50 min,70.0,110.0,no,25.0
64,2500000,"Derech Ben Gurion  89,Bat Yam",Apartment,2.5,1,75.0,0,Derech Ben Gurion  89,Bat Yam,33333.333333333336,typically 24 min - 1 hr,39 min,6    אשקלון-אשקלון<->הרצליה-הרצליה,24.0,60.0,39.0,2,26 - 50 min,26.0,50.0,no,30.0
65,3050000,"Alonim St.  18,Netanya",Apartment,4.0,13,118.0,2,Alonim St.,Netanya,25847.457627118645,typically 40 min - 1 hr 20 min,50 min,606,40.0,80.0,50.0,1,1 hr 10 min - 1 hr 50 min,70.0,110.0,yes,29.5
66,4790000,"Menashe Kapra St.  38,Rehovot",New homes,7.0,6,165.0,1,Menashe Kapra St.,Rehovot,29030.303030303032,typically 40 min - 1 hr 30 min,57 min,277,40.0,90.0,57.0,1,7 - 12 min,7.0,12.0,yes,23.571428571428573
67,2790000,Ha-Zohar St. Petah Tikva,Apartment,4.0,0,120.0,1,Ha-Zohar St.,Petah Tikva,23250.0,typically 30 min - 1 hr 5 min,43 min,64,30.0,65.0,43.0,1,40 min - 1 hr 5 min,40.0,65.0,yes,30.0
68,1750000,Beit Lekhem St. Rishon LeTsiyon,Mini penthouse,3.5,3,95.0,1,Beit Lekhem St.,Rishon LeTsiyon,18421.052631578947,typically 30 min - 1 hr 5 min,42 min,193,30.0,65.0,42.0,1,20 - 35 min,20.0,35.0,yes,27.142857142857142
69,2000000,Pnina U-Moshe St. Rishon LeTsiyon,Garden apt.,5.0,1,120.0,1,Pnina U-Moshe St.,Rishon LeTsiyon,16666.666666666668,typically 30 min - 1 hr,46 min,5        193,30.0,60.0,46.0,2,22 - 40 min,22.0,40.0,yes,24.0
70,1850000,HaRav Uziel St. Rishon LeTsiyon,Apartment,4.0,1,100.0,0,HaRav Uziel St.,Rishon LeTsiyon,18500.0,typically 30 min - 1 hr,NA,NA,30.0,60.0,0.0,1,22 - 40 min,22.0,40.0,no,25.0
71,1795000,Rothschild St. Rishon LeTsiyon,New homes,3.0,2,60.0,0,Rothschild St.,Rishon LeTsiyon,29916.666666666668,typically 30 min - 1 hr,40 min,190,30.0,60.0,40.0,1,16 - 30 min,16.0,30.0,no,20.0
72,7000000,HaShomer St. Rishon LeTsiyon,Apartment,6.0,2,240.0,2,HaShomer St.,Rishon LeTsiyon,29166.666666666668,typically 30 min - 1 hr 5 min,47 min,193,30.0,65.0,47.0,1,18 - 35 min,18.0,35.0,yes,40.0
73,2600000,HaGdud Haivri St. Rishon LeTsiyon,Apartment,5.0,3,120.0,3,HaGdud Haivri St.,Rishon LeTsiyon,21666.666666666668,typically 28 min - 1 hr,NA,NA,28.0,60.0,0.0,1,,,,yes,24.0
74,4650000,Ha-Hityashvut St. Rishon LeTsiyon,Villa,5.0,8,161.0,2,Ha-Hityashvut St.,Rishon LeTsiyon,28881.987577639753,typically 28 min - 1 hr,51 min,193,28.0,60.0,51.0,1,20 - 40 min,20.0,40.0,yes,32.2
75,1750000,Alkalai St. Rishon LeTsiyon,Rooftop apt.,4.0,4,95.0,2,Alkalai St.,Rishon LeTsiyon,18421.052631578947,typically 30 min - 1 hr 5 min,41 min,193,30.0,65.0,41.0,1,22 - 40 min,22.0,40.0,yes,23.75
76,3890000,Carmel St. Rehovot,Duplex,5.0,17,116.0,2,Carmel St.,Rehovot,33534.48275862069,typically 40 min - 1 hr 30 min,55 min,8    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,40.0,90.0,55.0,2,10 - 20 min,10.0,20.0,yes,23.2
77,3600000,Kheil ha-Khimush St. Rishon LeTsiyon,Apartment,5.0,5,138.0,2,Kheil ha-Khimush St.,Rishon LeTsiyon,26086.956521739132,typically 26 min - 1 hr 5 min,39 min,15        190,26.0,65.0,39.0,2,22 - 40 min,22.0,40.0,yes,27.6
78,1990000,Ha-Tikva St. Rishon LeTsiyon,Penthouse,4.0,3,111.0,1,Ha-Tikva St.,Rishon LeTsiyon,17927.92792792793,typically 28 - 55 min,42 min,190,28.0,55.0,42.0,1,18 - 30 min,18.0,30.0,yes,27.75
79,1720000,HaBen HaRishon St. Rishon LeTsiyon,Apartment,3.0,1,80.0,1,HaBen HaRishon St.,Rishon LeTsiyon,21500.0,typically 30 min - 1 hr,49 min,190,30.0,60.0,49.0,1,16 - 26 min,16.0,26.0,yes,26.666666666666668
80,1860000,Tchernikhovski St. Rishon LeTsiyon,Apartment,4.0,3,110.0,0,Tchernikhovski St.,Rishon LeTsiyon,16909.090909090908,typically 28 - 55 min,45 min,190,28.0,55.0,45.0,1,18 - 35 min,18.0,35.0,no,27.5
81,2450000,Khavakuk St. Rishon LeTsiyon,Apartment,4.0,4,103.0,1,Khavakuk St.,Rishon LeTsiyon,23786.40776699029,typically 35 min - 1 hr 10 min,44 min,193,35.0,70.0,44.0,1,18 - 35 min,18.0,35.0,yes,25.75
82,1940000,Ruppin St. Rishon LeTsiyon,New homes,4.0,3,114.0,0,Ruppin St.,Rishon LeTsiyon,17017.543859649122,typically 30 min - 1 hr 10 min,44 min,190,30.0,70.0,44.0,1,16 - 30 min,16.0,30.0,no,28.5
83,2250000,HaKishon St. Rishon LeTsiyon,Rooftop apt.,5.0,4,125.0,1,HaKishon St.,Rishon LeTsiyon,18000.0,typically 30 min - 1 hr,45 min,190,30.0,60.0,45.0,1,,,,yes,25.0
84,3500000,Yeverboim St. Rishon LeTsiyon,Apartment,5.0,4,125.0,2,Yeverboim St.,Rishon LeTsiyon,28000.0,typically 30 min - 1 hr,43 min,190,30.0,60.0,43.0,1,18 - 30 min,18.0,30.0,yes,25.0
85,4500000,Shaar Hagolan St. Rishon LeTsiyon,Apartment,5.0,1,180.0,0,Shaar Hagolan St.,Rishon LeTsiyon,25000.0,typically 28 min - 1 hr 10 min,45 min,6    190,28.0,70.0,45.0,2,20 - 35 min,20.0,35.0,no,36.0
86,2115000,Rambam St. Rishon LeTsiyon,Rooftop apt.,4.0,5,104.0,2,Rambam St.,Rishon LeTsiyon,20336.53846153846,typically 30 min - 1 hr 5 min,45 min,193,30.0,65.0,45.0,1,22 - 40 min,22.0,40.0,yes,26.0
87,1665000,Amzaleg St. Rishon LeTsiyon,New homes,3.0,4,72.0,0,Amzaleg St.,Rishon LeTsiyon,23125.0,typically 28 - 55 min,45 min,3    190,28.0,55.0,45.0,2,18 - 35 min,18.0,35.0,no,24.0
88,1950000,Lubman St. Rishon LeTsiyon,Rooftop apt.,3.5,1,77.0,1,Lubman St.,Rishon LeTsiyon,25324.675324675325,typically 30 min - 1 hr 10 min,43 min,193,30.0,70.0,43.0,1,18 - 35 min,18.0,35.0,yes,22.0
89,1790000,Vigodski St. Rishon LeTsiyon,Apartment,4.0,4,100.0,1,Vigodski St.,Rishon LeTsiyon,17900.0,typically 30 min - 1 hr 5 min,39 min,193,30.0,65.0,39.0,1,20 - 35 min,20.0,35.0,yes,25.0
90,3390000,"Berl Katznelson St.  33,Rishon LeTsiyon",Apartment,5.0,4,134.0,1,Berl Katznelson St.,Rishon LeTsiyon,25298.507462686568,typically 30 min - 1 hr,44 min,190,30.0,60.0,44.0,1,16 - 28 min,16.0,28.0,yes,26.8
91,1800000,David Wolffsohn St. Rishon LeTsiyon,Apartment,2.5,0,89.0,0,David Wolffsohn St.,Rishon LeTsiyon,20224.719101123595,typically 35 min - 1 hr 5 min,41 min,190,35.0,65.0,41.0,1,,,,no,35.6
92,2650000,Imber St. Rishon LeTsiyon,New homes,4.5,1,115.0,2,Imber St.,Rishon LeTsiyon,23043.478260869564,typically 35 min - 1 hr 5 min,42 min,190,35.0,65.0,42.0,1,18 - 35 min,18.0,35.0,yes,25.555555555555557
93,1800000,Binyamin St. Rehovot,Rooftop apt.,3.5,1,93.0,0,Binyamin St.,Rehovot,19354.83870967742,typically 40 min - 1 hr 40 min,56 min,277,40.0,100.0,56.0,1,7 - 12 min,7.0,12.0,no,26.571428571428573
94,2800000,Abarbanel St. Rishon LeTsiyon,Apartment,5.0,6,180.0,1,Abarbanel St.,Rishon LeTsiyon,15555.555555555555,typically 30 min - 1 hr,44 min,193,30.0,60.0,44.0,1,22 - 45 min,22.0,45.0,yes,36.0
95,2650000,Imber St. Rishon LeTsiyon,Apartment,4.5,1,120.0,1,Imber St.,Rishon LeTsiyon,22083.333333333332,typically 35 min - 1 hr 5 min,42 min,190,35.0,65.0,42.0,1,18 - 35 min,18.0,35.0,yes,26.666666666666668
96,1800000,Max Nordau St. Rehovot,Mini penthouse,3.0,3,87.0,0,Max Nordau St.,Rehovot,20689.655172413793,typically 40 min - 1 hr 40 min,55 min,277,40.0,100.0,55.0,1,7 - 12 min,7.0,12.0,no,29.0
97,2590000,Ha-Iris St. Rishon LeTsiyon,New homes,5.0,1,118.0,1,Ha-Iris St.,Rishon LeTsiyon,21949.15254237288,typically 28 min - 1 hr,38 min,83    190,28.0,60.0,38.0,2,18 - 35 min,18.0,35.0,yes,23.6
98,3550000,Ha-Akhim Ostashinski St. Rishon LeTsiyon,Apartment,6.0,10,146.0,2,Ha-Akhim Ostashinski St.,Rishon LeTsiyon,24315.068493150684,typically 30 min - 1 hr 10 min,47 min,190,30.0,70.0,47.0,1,16 - 30 min,16.0,30.0,yes,24.333333333333332
99,1790000,Kiryat Sefer St. Rishon LeTsiyon,Apartment,2.5,2,75.0,0,Kiryat Sefer St.,Rishon LeTsiyon,23866.666666666668,typically 30 min - 1 hr,42 min,190,30.0,60.0,42.0,1,18 - 35 min,18.0,35.0,no,30.0
100,4000000,Jerusalem St. Rishon LeTsiyon,Apartment,6.0,7,180.0,2,Jerusalem St.,Rishon LeTsiyon,22222.222222222223,typically 28 min - 1 hr,43 min,193,28.0,60.0,43.0,1,20 - 40 min,20.0,40.0,yes,30.0
101,1800000,Kiryat Sefer St. Rishon LeTsiyon,Apartment,2.5,2,80.0,0,Kiryat Sefer St.,Rishon LeTsiyon,22500.0,typically 30 min - 1 hr,42 min,190,30.0,60.0,42.0,1,18 - 35 min,18.0,35.0,no,32.0
102,12000000,HaMegila St. Rishon LeTsiyon,New homes,8.0,3,580.0,2,HaMegila St.,Rishon LeTsiyon,20689.655172413793,typically 26 min - 1 hr 5 min,39 min,15        190,26.0,65.0,39.0,2,22 - 40 min,22.0,40.0,yes,72.5
