,price,address,property_type,num_rooms,floor_num,meters,parking,street,city
109,590000,Shalom Shabazi St. Rishon LeTsiyon,Apartment,1,0,100,NA,Shalom Shabazi St.,Rishon LeTsiyon
110,3490000,Ha-Zohar St. Petah Tikva,Villa,6,6,151,1,Ha-Zohar St.,Petah Tikva
111,1290000,Yerushalayim Ave Lod,Apartment,4,0,75,NA,YerushalayimAve,Lod
112,1350000,"Sderot Johana Jabotinsky  58,Beersheba",Apartment,4,2,110,1,Sderot Johana Jabotinsky  58,Beersheba
113,1270000,Yakinton St. Lod,Penthouse,4,1,90,NA,Yakinton St.,Lod
114,1180000,"Sderot Shlomo HaMelech  63,Lod",Garden apt.,3,3,55,NA,Sderot Shlomo HaMelech  63,Lod
115,2397000,"Simkha St.  45,Tel Aviv-Yafo",Apartment,4,1,86,NA,Simkha St.,Tel Aviv-Yafo
116,1930000,"Maale Ha-Gat St.  15,Ashkelon",Apartment,5,1,147,1,Maale Ha-Gat St.,Ashkelon
117,5800000,"Uzi Hitman St.  11,Netanya",Apartment,6,12,220,2,Uzi Hitman St.,Netanya
118,5400000,"Lubman St.  5,Rishon LeTsiyon",New homes,6.5,3,180,2,Lubman St.,Rishon LeTsiyon
119,2050000,Arye Refael St. Rishon LeTsiyon,Apartment,3.5,3,95,1,Arye Refael St.,Rishon LeTsiyon
120,2900000,Gevim St. Rishon LeTsiyon,Duplex,4,14,95,1,Gevim St.,Rishon LeTsiyon
121,3300000,Sharet St. Netanya,Duplex,7,1,270,1,Sharet St.,Netanya
122,2350000,"Brandeis St.  11,Rishon LeTsiyon",Apartment,4,3,100,NA,Brandeis St.,Rishon LeTsiyon
123,6700000,"Shalom Aleichem St.  9,Rishon LeTsiyon",New homes,4,3,320,2,Shalom Aleichem St.,Rishon LeTsiyon
124,1100000,Sderot Shlomo HaMelech Lod,Apartment,3,3,75,NA,SderotShlomoHaMelech,Lod
125,4700000,Ha-Hityashvut St. Rishon LeTsiyon,Apartment,6,0,165,2,Ha-Hityashvut St.,Rishon LeTsiyon
126,3100000,"Nitsa Boulevard  34,Netanya",Cottage/house,4,8,117,1,Nitsa Boulevard  34,Netanya
127,6200000,HaYarkon St. Tel Aviv-Yafo,Apartment,4,4,94,2,HaYarkon St.,Tel Aviv-Yafo
128,17500000,Shaar HaYam St. Herzliya,New homes,10,2,480,2,Shaar HaYam St.,Herzliya
129,3850000,Melchett St. Tel Aviv-Yafo,Garden apt.,4,3,110,NA,Melchett St.,Tel Aviv-Yafo
130,3650000,Biltmore St. Tel Aviv-Yafo,Apartment,3,2,75,1,Biltmore St.,Tel Aviv-Yafo
131,6000000,Yohanan HaSandlar St. Tel Aviv-Yafo,Villa,5,5,165,2,Yohanan HaSandlar St.,Tel Aviv-Yafo
132,5850000,Yosef ha-Nasi St. Tel Aviv-Yafo,Penthouse,4,2,112,1,Yosef ha-Nasi St.,Tel Aviv-Yafo
133,7450000,Trumpeldor St. Tel Aviv-Yafo,New homes,4,4,120,1,Trumpeldor St.,Tel Aviv-Yafo
134,3350000,Dov Hoz St. Tel Aviv-Yafo,Apartment,3,0,60,NA,Dov Hoz St.,Tel Aviv-Yafo
135,6900000,Shai Agnon St. Tel Aviv-Yafo,Duplex,5,8,230,2,Shai Agnon St.,Tel Aviv-Yafo
136,1340000,Sokolov St. Netanya,Apartment,3,2,85,1,Sokolov St.,Netanya
137,1290000,"Khayat St.  1,Haifa",Apartment,3.5,3,66,NA,Khayat St.,Haifa
138,2450000,HaNotrim St. Rishon LeTsiyon,New homes,4,2,108,NA,HaNotrim St.,Rishon LeTsiyon
139,3990000,David HaMelech St. Netanya,Duplex,4,6,100,1,David HaMelech St.,Netanya
140,11500000,Beni Berman St. Netanya,Apartment,7,32,265,2,Beni Berman St.,Netanya
141,3400000,"Sderot Ben Gurion  143,Netanya",Apartment,4,21,140,2,Sderot Ben Gurion  143,Netanya
142,4690000,"Shtulim St.  1,Tel Aviv-Yafo",Cottage/house,5,11,142,2,Shtulim St.,Tel Aviv-Yafo
143,1260000,"Sderot Oved Ben Ami  2,Netanya",New homes,2,4,66,NA,Sderot Oved Ben Ami  2,Netanya
144,540000,"Nitsanim St.  31,Migdal HaEmek",Penthouse,3.5,3,86,1,Nitsanim St.,Migdal HaEmek
145,1840000,"Yoram Varon St.  3,Ashkelon",Apartment,5,6,160,2,Yoram Varon St.,Ashkelon
146,2180000,"Smilanski St.  69,Netanya",Duplex,3.5,0,90,NA,Smilanski St.,Netanya
147,1540000,HaHashmonaim St. Bat Yam,Apartment,2.5,1,65,NA,HaHashmonaim St.,Bat Yam
148,10000000,"Ahi Mezanek St.  4,Rishon LeTsiyon",Apartment,6,4,420,1,Ahi Mezanek St.,Rishon LeTsiyon
149,3080000,"Shvat St.  35,Tel Aviv-Yafo",Apartment,5.5,1,80,NA,Shvat St.,Tel Aviv-Yafo
150,6950000,Biltmore St. Tel Aviv-Yafo,Apartment,5,1,114,1,Biltmore St.,Tel Aviv-Yafo
151,1000000,"Masada St.  4,Ramla",Apartment,4,2,90,NA,Masada St.,Ramla
152,2800000,HaTapuach St. Rishon LeTsiyon,Cottage/house,3,1,80,NA,HaTapuach St.,Rishon LeTsiyon
153,2090000,"Dizengoff St.  35,Netanya",Villa,4,4,97,NA,Dizengoff St.,Netanya
154,3500000,HaCarmel St. Rishon LeTsiyon,Apartment,6.5,6,141,2,HaCarmel St.,Rishon LeTsiyon
155,1860000,Irit St. Tel Aviv-Yafo,Cottage/house,3,3,80,NA,Irit St.,Tel Aviv-Yafo
156,11000000,David HaMelech St. Netanya,Apartment,6,23,225,2,David HaMelech St.,Netanya
157,2150000,"Kokhavei Yitskhak St.  3,Tel Aviv-Yafo",Rooftop apt.,3,4,60,NA,Kokhavei Yitskhak St.,Tel Aviv-Yafo
158,3450009,Bnei Binyamin St. Netanya,Apartment,5,8,138,2,Bnei Binyamin St.,Netanya
159,3550000,Ha-Gefen St. Ramla,Apartment,7,1,240,NA,Ha-Gefen St.,Ramla
160,2180000,Yehuda Halevi St. Rishon LeTsiyon,Apartment,4.5,6,115,NA,Yehuda Halevi St.,Rishon LeTsiyon
161,1290000,"Henrietta Szold St.  115,Lod",Cottage/house,4,7,100,NA,Henrietta Szold St.,Lod
162,1270000,"Meir Safran St.  4,Lod",Apartment,3.5,4,80,NA,Meir Safran St.,Lod
163,2370000,"Berl Katznelson St.  17,Rishon LeTsiyon",Apartment,4.5,1,110,1,Berl Katznelson St.,Rishon LeTsiyon
164,4990000,Hovevei Tsiyon St. Tel Aviv-Yafo,Apartment,3.5,0,89,NA,Hovevei Tsiyon St.,Tel Aviv-Yafo
165,1970000,"Dakar St.  21,Lod",Apartment,5,14,125,1,Dakar St.,Lod
166,1490000,"Barak St.  4,Lod",Garden apt.,3.5,4,75,1,Barak St.,Lod
167,18000000,Neve Tzedek St. Tel Aviv-Yafo,Apartment,5,3,160,2,Neve Tzedek St.,Tel Aviv-Yafo
168,3950000,"Sh. Ben Tsiyon St.  5,Rishon LeTsiyon",Penthouse,4,0,110,1,Sh. Ben Tsiyon St.,Rishon LeTsiyon
169,479000,Ha-Banim St. Tiberias,Garden apt.,2,2,45,NA,Ha-Banim St.,Tiberias
170,2390000,Fabregat St. Ramat Gan,Apartment,3,0,82,NA,Fabregat St.,Ramat Gan
171,1880000,HaRav Uziel St. Rishon LeTsiyon,Garden apt.,3.5,1,90,1,HaRav Uziel St.,Rishon LeTsiyon
172,4990000,"Ben Akhituv St.  7,Tel Aviv-Yafo",Apartment,5,0,160,1,Ben Akhituv St.,Tel Aviv-Yafo
173,1197000,"Ahad HaAm St.  6,Haifa",Apartment,2,8,68,1,Ahad HaAm St.,Haifa
174,2450000,"Tiomkin St.  19,Rishon LeTsiyon",Apartment,4,6,116,1,Tiomkin St.,Rishon LeTsiyon
175,2840000,"Tiomkin St.  19,Rishon LeTsiyon",Apartment,5,6,138,1,Tiomkin St.,Rishon LeTsiyon
176,5800000,"Nitsa Boulevard  20,Netanya",Apartment,5,11,164,2,Nitsa Boulevard  20,Netanya
177,5750000,Ahlama St. Ashdod,Villa,6,3,240,2,Ahlama St.,Ashdod
178,1695000,"Ha-Admor ha-EmtsaI St.  1,Lod",Rooftop apt.,4,9,96,NA,Ha-Admor ha-EmtsaI St.,Lod
179,3150000,"Ha-Rav Nisanbaum St.  37,Bat Yam",Apartment,5,28,120,1,Ha-Rav Nisanbaum St.,Bat Yam
180,2300000,"Frumkin St.  6,Netanya",Apartment,4,1,112,NA,Frumkin St.,Netanya
181,1250000,"Rabbi Akiva St.  5,Lod",Apartment,4,3,85,1,Rabbi Akiva St.,Lod
182,7290000,Yitshak Sadeh St. Bat Yam,Mini penthouse,4,39,162,3,Yitshak Sadeh St.,Bat Yam
183,1440000,"Dov Hoz St.  8,Netanya",Garden apt.,45,0,100,NA,Dov Hoz St.,Netanya
184,760000,"Rahvat HaRav Uziel  15,Beersheba",Apartment,3,3,75,1,Rahvat HaRav Uziel  15,Beersheba
185,1995000,Khalutsei Yesud ha-Ma'ala St. Rishon LeTsiyon,Apartment,4,3,90,1,Khalutsei Yesud ha-Maala St.,Rishon LeTsiyon
186,2050000,Weizman St. Bat Yam,Apartment,3.5,1,87,1,Weizman St.,Bat Yam
187,2230000,"Tsadi Gimel Banot St.  32,Rishon LeTsiyon",Apartment,4,6,90,1,Tsadi Gimel Banot St.,Rishon LeTsiyon
188,3150000,"Shtulim St.  1,Tel Aviv-Yafo",Apartment,4,2,98,1,Shtulim St.,Tel Aviv-Yafo
189,4270000,Derech Ben Gurion Bat Yam,Apartment,3,7,105,1,Derech Ben Gurion,Bat Yam
190,3590000,Tsvi Hirschfeld St. Rishon LeTsiyon,Penthouse,5,6,138,1,Tsvi Hirschfeld St.,Rishon LeTsiyon
191,2390000,"Tel Hai St.  24,Rishon LeTsiyon",Apartment,3,2,90,1,Tel Hai St.,Rishon LeTsiyon
192,2470000,"Yokhanan ha-Sandlar St.  8,Rishon LeTsiyon",Apartment,4,10,100,1,Yokhanan ha-Sandlar St.,Rishon LeTsiyon
193,3550000,Shmurat Nahal Bsur St. Netanya,Garden apt.,4,0,120,2,Shmurat Nahal Bsur St.,Netanya
194,2150000,"HaHayil St.  3,Holon",Cottage/house,5,3,90,NA,HaHayil St.,Holon
195,2600000,"Ramban St.  1,Netanya",Apartment,5,4,130,NA,Ramban St.,Netanya
196,1120000,"Meir Safran St.  2,Lod",Apartment,4,2,90,NA,Meir Safran St.,Lod
197,2090000,"Sderot Jabotinsky  31,Netanya",Apartment,3,1,96,NA,Sderot Jabotinsky  31,Netanya
198,1290000,"Barak St.  20,Lod",Apartment,4,3,90,1,Barak St.,Lod
199,2190000,HaRav Herzog St. Ramla,Garden apt.,4,0,90,NA,HaRav Herzog St.,Ramla
200,7600000,Yokheved Bat Miryam St. Tel Aviv-Yafo,Cottage/house,6,3,180,3,Yokheved Bat Miryam St.,Tel Aviv-Yafo
201,1290000,Rakhel Alter St. Lod,Apartment,3,1,75,1,Rakhel Alter St.,Lod
202,2360000,"Petah Tikva St.  53,Netanya",Penthouse,4,5,110,1,Petah Tikva St.,Netanya
203,1650000,Ha-Khashmonaim St. Lod,Apartment,4.5,4,165,NA,Ha-Khashmonaim St.,Lod
204,1280000,"Sderot Shlomo HaMelech  105,Lod",Apartment,5,4,102,NA,Sderot Shlomo HaMelech  105,Lod
205,3000000,"Ussishkin St.  11,Netanya",Apartment,5,4,113,1,Ussishkin St.,Netanya
206,4150000,"Ha-Gila St.  5,Netanya",Apartment,4,9,126,3,Ha-Gila St.,Netanya
207,2070000,David Wolffsohn St. Rishon LeTsiyon,Apartment,4.5,2,110,NA,David Wolffsohn St.,Rishon LeTsiyon
208,3000000,David Wolfson St. Petah Tikva,Rooftop apt.,6,4,130,1,David Wolfson St.,Petah Tikva
209,2950000,Tsadi Gimel Banot St. Rishon LeTsiyon,Triplex,5.5,3,140,1,Tsadi Gimel Banot St.,Rishon LeTsiyon
210,12000000,Ha-Gila St. Netanya,Mini penthouse,6,17,240,2,Ha-Gila St.,Netanya
211,3200000,Rothschild St. Bat Yam,Apartment,7,4,140,1,Rothschild St.,Bat Yam
212,2780000,Tchernikhovski St. Bat Yam,Penthouse,4,7,220,NA,Tchernikhovski St.,Bat Yam
213,2350000,Tchernikhovski St. Bat Yam,Apartment,4,4,110,NA,Tchernikhovski St.,Bat Yam
214,7100000,Bnei Binyamin St. Netanya,Cottage/house,7,4,250,2,Bnei Binyamin St.,Netanya
215,3550000,"Ofra Haza  9,Bat Yam",Apartment,4,20,110,NA,Ofra Haza  9,Bat Yam
216,3600000,Archi Sherman St. Netanya,Apartment,5,10,136,1,Archi Sherman St.,Netanya
217,11000000,Masaryk St. Netanya,Villa,8,4,460,2,Masaryk St.,Netanya
218,2570000,HaCarmel St. Rishon LeTsiyon,Apartment,5,2,125,1,HaCarmel St.,Rishon LeTsiyon
219,1750000,"HaShikma St.  32,Bat Yam",Apartment,3.5,1,79,NA,HaShikma St.,Bat Yam
220,1870000,Ha-Sar Shapira St. Bat Yam,Garden apt.,4,0,90,2,Ha-Sar Shapira St.,Bat Yam
221,5100000,Bar Kochva St. Tel Aviv-Yafo,Apartment,3,2,80,NA,Bar Kochva St.,Tel Aviv-Yafo
222,2080000,"Bilu St.  5,Rishon LeTsiyon",Apartment,4,1,90,1,Bilu St.,Rishon LeTsiyon
223,3480000,"Ha-Shakhar St.  10,Hod Hasharon",Apartment,4,5,125,1,Ha-Shakhar St.,Hod Hasharon
224,2190000,Nakhshol St. Ramla,Duplex,6,2,150,1,Nakhshol St.,Ramla
225,2380000,HaShikma St. Bat Yam,Rooftop apt.,4,4,180,1,HaShikma St.,Bat Yam
226,4200000,Yitshak Sadeh St. Bat Yam,Apartment,5,21,140,2,Yitshak Sadeh St.,Bat Yam
227,4200000,Kehilat Tsefat St. Netanya,Apartment,5,9,147,2,Kehilat Tsefat St.,Netanya
228,3190000,"onyx  20,Be'er Ya'akov",Apartment,5,3,161,1,onyx  20,Beer Yaakov
229,620000,"Akhad ha-Am St.  4,Netanya",Apartment,2,2,25,NA,Akhad ha-Am St.,Netanya
230,2890000,Shlomo Kaplanski St. Rishon LeTsiyon,Duplex,5,1,120,1,Shlomo Kaplanski St.,Rishon LeTsiyon
231,2750000,Gush Etsyon St. Holon,Rooftop apt.,5,2,120,1,Gush Etsyon St.,Holon
232,2280000,"Horowitz St.  8,Rishon LeTsiyon",Apartment,4,3,85,1,Horowitz St.,Rishon LeTsiyon
233,7250000,Arik Einstein St. Ashdod,Penthouse,4,23,224,2,Arik Einstein St.,Ashdod
